iter	Passed	Remaining
0	0	89
1	1	84
2	2	81
3	3	82
4	4	81
5	5	79
6	5	78
7	6	77
8	7	76
9	8	75
10	9	74
11	10	73
12	10	72
13	11	71
14	12	70
15	13	69
16	14	68
17	14	67
18	15	66
19	16	66
20	17	65
21	18	64
22	18	63
23	19	62
24	20	61
25	21	60
26	22	60
27	23	59
28	23	58
29	24	57
30	25	57
31	26	56
32	27	55
33	28	55
34	29	54
35	30	53
36	30	52
37	31	51
38	32	50
39	33	50
40	34	49
41	34	47
42	35	47
43	36	46
44	37	45
45	37	44
46	38	43
47	39	43
48	40	42
49	41	41
50	42	40
51	43	39
52	44	39
53	44	38
54	45	37
55	46	36
56	47	35
57	47	34
58	48	33
59	49	33
60	50	32
61	51	31
62	52	30
63	52	29
64	53	28
65	54	28
66	55	27
67	56	26
68	57	25
69	57	24
70	58	24
71	59	23
72	60	22
73	61	21
74	62	20
75	63	19
76	63	19
77	64	18
78	65	17
79	66	16
80	67	15
81	68	14
82	69	14
83	69	13
84	70	12
85	71	11
86	72	10
87	73	9
88	74	9
89	74	8
90	75	7
91	76	6
92	77	5
93	78	4
94	79	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
