iter	Passed	Remaining
0	149	149256
1	152	75941
2	154	51370
3	157	39121
4	159	31711
5	161	26763
6	163	23254
7	166	20601
8	168	18552
9	170	16842
10	171	15439
11	173	14269
12	174	13283
13	176	12410
14	177	11654
15	178	10990
16	179	10407
17	181	9908
18	182	9437
19	183	9006
20	184	8616
21	185	8262
22	187	7963
23	188	7660
24	189	7379
25	190	7120
26	190	6880
27	191	6657
28	192	6451
29	193	6260
30	194	6075
31	195	5902
32	195	5739
33	196	5585
34	197	5441
35	198	5304
36	198	5177
37	199	5055
38	200	4937
39	201	4824
40	201	4717
41	202	4615
42	203	4518
43	203	4425
44	204	4336
45	205	4253
46	205	4172
47	206	4092
48	206	4016
49	207	3943
50	208	3872
51	208	3804
52	209	3739
53	209	3676
54	210	3616
55	211	3559
56	211	3503
57	212	3449
58	212	3396
59	213	3344
60	214	3294
61	214	3245
62	215	3198
63	215	3153
64	216	3109
65	216	3066
66	217	3025
67	217	2986
68	218	2947
69	218	2909
70	219	2872
71	220	2836
72	220	2801
73	221	2767
74	221	2734
75	222	2701
76	222	2670
77	223	2639
78	223	2610
79	224	2587
80	225	2558
81	226	2530
82	226	2500
83	226	2474
84	227	2448
85	227	2423
86	228	2398
87	229	2374
88	229	2350
89	230	2329
90	231	2311
91	231	2289
92	232	2268
93	233	2246
94	233	2225
95	234	2205
96	234	2185
97	235	2165
98	235	2145
99	236	2127
100	237	2110
101	237	2092
102	238	2075
103	238	2057
104	239	2040
105	239	2023
106	240	2007
107	241	1990
108	241	1974
109	242	1959
110	242	1944
111	243	1929
112	243	1914
113	244	1899
114	244	1885
115	245	1871
116	245	1856
117	246	1842
118	247	1829
119	247	1815
120	248	1802
121	248	1789
122	249	1777
123	249	1765
124	250	1752
125	250	1740
126	251	1727
127	251	1716
128	252	1704
129	253	1693
130	253	1682
131	254	1671
132	254	1659
133	255	1649
134	255	1639
135	256	1628
136	256	1618
137	257	1607
138	257	1597
139	258	1588
140	259	1578
141	259	1567
142	260	1558
143	260	1548
144	261	1539
145	261	1531
146	262	1522
147	262	1513
148	263	1504
149	263	1495
150	264	1487
151	265	1478
152	265	1470
153	266	1461
154	266	1453
155	267	1445
156	267	1438
157	268	1430
158	268	1422
159	269	1414
160	269	1406
161	270	1398
162	270	1391
163	271	1384
164	272	1376
165	272	1369
166	273	1362
167	273	1355
168	274	1350
169	275	1343
170	275	1336
171	276	1330
172	276	1323
173	277	1317
174	278	1311
175	278	1304
176	279	1298
177	279	1292
178	280	1287
179	281	1282
180	282	1276
181	282	1270
182	283	1264
183	283	1258
184	284	1252
185	284	1246
186	285	1240
187	285	1234
188	286	1229
189	287	1223
190	287	1218
191	288	1212
192	288	1207
193	289	1201
194	289	1196
195	290	1191
196	290	1185
197	291	1181
198	292	1175
199	292	1170
200	293	1165
201	293	1160
202	294	1155
203	294	1150
204	295	1145
205	296	1140
206	296	1136
207	297	1131
208	297	1126
209	298	1121
210	298	1117
211	299	1112
212	299	1108
213	300	1103
214	301	1099
215	301	1094
216	302	1090
217	302	1085
218	303	1081
219	303	1076
220	304	1072
221	304	1068
222	305	1064
223	305	1059
224	306	1055
225	307	1051
226	307	1047
227	308	1043
228	308	1039
229	309	1035
230	309	1031
231	310	1027
232	310	1023
233	311	1019
234	312	1015
235	312	1012
236	313	1008
237	313	1004
238	314	1000
239	314	996
240	315	992
241	315	989
242	316	985
243	316	981
244	317	978
245	318	976
246	319	972
247	319	969
248	320	965
249	320	962
250	321	958
251	321	955
252	322	951
253	322	948
254	323	944
255	324	942
256	325	939
257	325	936
258	326	933
259	326	930
260	327	926
261	327	923
262	328	920
263	328	917
264	329	913
265	330	910
266	330	908
267	331	905
268	332	902
269	332	899
270	333	896
271	333	893
272	334	890
273	334	887
274	335	884
275	336	881
276	336	878
277	337	876
278	337	873
279	338	870
280	339	867
281	339	864
282	340	861
283	340	858
284	341	855
285	341	852
286	342	850
287	342	847
288	343	844
289	344	842
290	344	839
291	345	836
292	345	834
293	346	831
294	346	828
295	347	826
296	347	823
297	348	820
298	349	818
299	349	815
300	350	813
301	350	810
302	351	807
303	351	805
304	352	802
305	352	800
306	353	797
307	353	795
308	354	792
309	355	790
310	355	788
311	356	785
312	356	783
313	357	780
314	357	778
315	358	775
316	358	773
317	359	770
318	360	768
319	360	766
320	361	763
321	362	762
322	362	760
323	363	757
324	363	755
325	364	753
326	364	751
327	365	748
328	366	746
329	366	744
330	367	742
331	367	740
332	368	739
333	369	736
334	370	734
335	370	732
336	371	730
337	371	727
338	372	725
339	372	723
340	373	721
341	373	719
342	374	717
343	375	715
344	375	713
345	376	711
346	376	708
347	377	706
348	377	704
349	378	702
350	378	700
351	379	698
352	380	696
353	380	695
354	381	693
355	382	691
356	382	689
357	383	687
358	384	685
359	384	683
360	385	681
361	385	679
362	386	678
363	387	676
364	387	674
365	388	672
366	388	670
367	389	668
368	390	667
369	390	665
370	391	663
371	391	661
372	392	659
373	393	657
374	393	656
375	394	654
376	394	652
377	395	650
378	395	648
379	396	646
380	396	644
381	397	642
382	397	641
383	398	639
384	399	637
385	399	636
386	400	634
387	400	632
388	401	630
389	402	628
390	402	627
391	403	625
392	403	623
393	404	621
394	404	619
395	405	618
396	406	617
397	406	615
398	407	613
399	408	612
400	408	610
401	409	608
402	409	606
403	410	605
404	410	603
405	411	601
406	412	600
407	413	599
408	413	597
409	414	596
410	414	594
411	415	592
412	415	590
413	416	589
414	416	587
415	417	585
416	418	584
417	418	583
418	419	581
419	419	579
420	420	578
421	421	576
422	421	575
423	422	574
424	423	572
425	423	570
426	424	569
427	424	567
428	425	566
429	426	564
430	426	563
431	427	561
432	427	560
433	428	558
434	428	556
435	429	555
436	429	553
437	430	552
438	431	550
439	431	549
440	432	547
441	432	546
442	433	544
443	433	543
444	434	541
445	434	540
446	435	538
447	435	537
448	436	535
449	437	534
450	437	532
451	438	531
452	438	529
453	439	528
454	439	526
455	440	525
456	440	523
457	441	522
458	442	521
459	442	519
460	443	518
461	443	516
462	444	515
463	444	513
464	445	512
465	445	510
466	446	509
467	446	508
468	447	506
469	448	505
470	448	503
471	449	502
472	450	501
473	450	500
474	451	498
475	451	497
476	452	495
477	452	494
478	453	493
479	453	491
480	454	490
481	455	488
482	455	487
483	456	487
484	457	485
485	458	484
486	458	483
487	459	481
488	459	480
489	460	479
490	460	477
491	461	476
492	462	475
493	462	473
494	463	472
495	463	471
496	464	469
497	464	468
498	465	467
499	465	465
500	466	464
501	466	463
502	467	461
503	468	460
504	468	459
505	469	458
506	469	456
507	470	455
508	470	454
509	471	452
510	471	451
511	472	450
512	473	449
513	473	447
514	474	446
515	474	445
516	475	443
517	475	442
518	476	441
519	476	440
520	477	438
521	477	437
522	478	436
523	478	435
524	479	433
525	479	432
526	480	431
527	481	430
528	481	428
529	482	427
530	482	426
531	483	425
532	483	423
533	484	422
534	484	421
535	485	420
536	486	419
537	486	417
538	487	416
539	487	415
540	488	414
541	488	413
542	489	411
543	489	410
544	490	409
545	490	408
546	491	407
547	492	405
548	492	404
549	493	403
550	493	402
551	494	401
552	494	399
553	495	398
554	495	397
555	496	396
556	496	395
557	497	394
558	498	392
559	498	391
560	499	390
561	500	390
562	501	389
563	501	388
564	502	386
565	503	385
566	503	384
567	504	383
568	504	382
569	505	381
570	506	380
571	507	379
572	507	378
573	508	377
574	508	375
575	509	374
576	509	373
577	510	372
578	510	371
579	511	370
580	512	369
581	512	368
582	513	367
583	513	366
584	514	364
585	514	363
586	515	362
587	515	361
588	516	360
589	517	359
590	517	358
591	518	357
592	518	356
593	519	354
594	519	353
595	520	352
596	521	351
597	521	350
598	522	349
